epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.2306,2.35094,4.3463,1.52042,0.00094,0.13878,0.00054,0.00024,1.77638,3.91344,1.34873,0.000540231,0.000540231,0.000540231
2,15.5424,1.85954,2.90894,1.25686,0.25483,0.20846,0.17061,0.07121,1.69595,2.97083,1.28159,0.00104165,0.00104165,0.00104165
3,19.9019,1.8628,2.55448,1.27443,0.44187,0.38907,0.4004,0.18546,1.77937,2.43758,1.3354,0.00148806,0.00148806,0.00148806
4,23.987,1.8216,2.27567,1.25804,0.50085,0.56817,0.48977,0.21783,1.79603,2.01068,1.36571,0.00141945,0.00141945,0.00141945
5,28.1003,1.83668,2.14366,1.29073,0.42198,0.50413,0.43872,0.1727,1.8569,1.91769,1.38116,0.00133693,0.00133693,0.00133693
6,31.9611,1.78847,2.02936,1.26982,0.52811,0.57481,0.52286,0.23598,1.73875,1.71592,1.31893,0.00125442,0.00125442,0.00125442
7,36.037,1.74144,1.83905,1.23125,0.60271,0.52804,0.55905,0.25923,1.72155,1.57679,1.3173,0.0011719,0.0011719,0.0011719
8,40.5991,1.76035,1.80686,1.23298,0.58372,0.58468,0.58148,0.27983,1.63515,1.51626,1.23624,0.00108938,0.00108938,0.00108938
9,44.6263,1.71158,1.783,1.22833,0.61256,0.61694,0.62326,0.2941,1.66046,1.51076,1.2681,0.00100687,0.00100687,0.00100687
10,49.4958,1.68125,1.70852,1.19768,0.56789,0.56555,0.55454,0.26351,1.64687,1.68793,1.23429,0.000924352,0.000924352,0.000924352
11,55.2813,1.61786,1.64292,1.24759,0.678,0.5911,0.62942,0.30958,1.5971,1.44687,1.21174,0.000841835,0.000841835,0.000841835
12,59.2802,1.57421,1.53847,1.20071,0.66711,0.62431,0.65441,0.31953,1.65153,1.41634,1.23444,0.000759318,0.000759318,0.000759318
13,63.2489,1.57108,1.49338,1.19397,0.74228,0.61385,0.67714,0.32996,1.63491,1.3898,1.2465,0.000676802,0.000676802,0.000676802
14,68.1631,1.56319,1.44192,1.21286,0.67351,0.65126,0.66554,0.30869,1.7169,1.42401,1.27155,0.000594286,0.000594286,0.000594286
15,73.0969,1.56096,1.42107,1.1996,0.71654,0.59584,0.67221,0.33292,1.63776,1.35175,1.22819,0.000511769,0.000511769,0.000511769
16,77.616,1.52392,1.36939,1.18577,0.6915,0.66063,0.71275,0.35397,1.60146,1.30492,1.22425,0.000429253,0.000429253,0.000429253
17,82.1379,1.50453,1.33586,1.18243,0.71544,0.67067,0.70569,0.339,1.66056,1.35996,1.24347,0.000346736,0.000346736,0.000346736
18,87.1064,1.49245,1.32541,1.16318,0.66594,0.67667,0.70783,0.35559,1.62233,1.31683,1.22306,0.00026422,0.00026422,0.00026422
19,91.4924,1.45948,1.29745,1.15004,0.72573,0.66121,0.71679,0.35656,1.63183,1.27963,1.2278,0.000181703,0.000181703,0.000181703
20,95.4865,1.46934,1.24269,1.13475,0.72549,0.64442,0.71981,0.36269,1.63345,1.26075,1.22979,9.91865e-05,9.91865e-05,9.91865e-05
