epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.4473,1.80683,1.64993,1.29355,0.51093,0.42742,0.45339,0.19987,1.87451,1.87673,1.41081,0.000540231,0.000540231,0.000540231
2,16.6439,1.63906,1.42829,1.21402,0.31469,0.30757,0.17747,0.05874,2.28044,2.48555,1.59127,0.00106877,0.00106877,0.00106877
3,24.9288,1.79959,1.53469,1.28635,0.30319,0.4186,0.22846,0.07255,2.06176,2.92508,1.48829,0.00156981,0.00156981,0.00156981
4,32.7594,1.73817,1.47092,1.2703,0.37113,0.23509,0.16468,0.05457,2.24856,3.08707,1.60663,0.00154323,0.00154323,0.00154323
5,40.3781,1.7606,1.49846,1.30891,0.37064,0.3674,0.25522,0.09459,2.08969,2.16342,1.52157,0.00150197,0.00150197,0.00150197
6,48.6936,1.69649,1.52637,1.26471,0.49271,0.56086,0.51538,0.23513,1.7378,1.66256,1.3298,0.00146071,0.00146071,0.00146071
7,57.3383,1.6519,1.34178,1.22187,0.47071,0.48519,0.42883,0.17501,1.90586,1.77995,1.40746,0.00141945,0.00141945,0.00141945
8,65.0406,1.67881,1.40114,1.24637,0.54543,0.49766,0.48993,0.22138,1.82335,1.63288,1.38875,0.00137819,0.00137819,0.00137819
9,73.2772,1.65327,1.41003,1.24718,0.62308,0.61431,0.63556,0.30268,1.69869,1.39667,1.32531,0.00133693,0.00133693,0.00133693
10,81.4759,1.63691,1.35547,1.23875,0.6846,0.61168,0.6572,0.31841,1.62351,1.43787,1.28125,0.00129568,0.00129568,0.00129568
11,89.5483,1.62921,1.33466,1.22664,0.61425,0.52684,0.5322,0.2286,1.81308,1.56424,1.3702,0.00125442,0.00125442,0.00125442
12,98.1505,1.60139,1.32062,1.20277,0.53194,0.59593,0.51078,0.2204,1.70905,1.62912,1.31105,0.00121316,0.00121316,0.00121316
13,106.213,1.59663,1.23461,1.1952,0.64486,0.63208,0.63799,0.32054,1.59036,1.34201,1.25531,0.0011719,0.0011719,0.0011719
14,115.241,1.5961,1.24888,1.20262,0.6802,0.63832,0.65921,0.31403,1.70122,1.3117,1.30197,0.00113064,0.00113064,0.00113064
15,123.194,1.58934,1.18939,1.20302,0.71848,0.63669,0.67664,0.33451,1.61042,1.31792,1.26745,0.00108938,0.00108938,0.00108938
16,131.481,1.52373,1.1677,1.19058,0.67535,0.64503,0.65282,0.28437,1.72487,1.40992,1.30878,0.00104813,0.00104813,0.00104813
17,139.308,1.56108,1.18768,1.18144,0.63063,0.59565,0.59846,0.28222,1.77357,1.38083,1.35209,0.00100687,0.00100687,0.00100687
18,146.913,1.5666,1.17024,1.19207,0.64066,0.58046,0.57491,0.25009,1.87907,1.53814,1.40302,0.00096561,0.00096561,0.00096561
19,154.829,1.50655,1.15052,1.15671,0.68397,0.65923,0.69841,0.32868,1.67715,1.25331,1.29974,0.000924352,0.000924352,0.000924352
20,162.532,1.50807,1.11352,1.17137,0.63919,0.67423,0.6711,0.31421,1.75376,1.29786,1.34842,0.000883093,0.000883093,0.000883093
21,170.633,1.52594,1.13068,1.1836,0.6576,0.65923,0.66493,0.2903,1.78505,1.38297,1.34807,0.000841835,0.000841835,0.000841835
22,178.608,1.46664,1.07016,1.14635,0.69429,0.66907,0.69156,0.33872,1.65998,1.26972,1.28904,0.000800577,0.000800577,0.000800577
23,187.452,1.52247,1.06376,1.16581,0.71248,0.7113,0.71765,0.35464,1.64724,1.23016,1.27636,0.000759318,0.000759318,0.000759318
24,195.544,1.46923,1.05841,1.13965,0.69231,0.6189,0.65597,0.31021,1.70693,1.31314,1.29485,0.00071806,0.00071806,0.00071806
25,203.105,1.47069,1.03237,1.12616,0.72609,0.72814,0.74419,0.37636,1.57235,1.17278,1.24201,0.000676802,0.000676802,0.000676802
26,211.007,1.47348,1.04747,1.16178,0.75181,0.66467,0.71099,0.35909,1.65197,1.26093,1.28914,0.000635544,0.000635544,0.000635544
27,218.883,1.46489,1.01572,1.12748,0.74274,0.72731,0.74325,0.34483,1.732,1.24351,1.31793,0.000594286,0.000594286,0.000594286
28,226.819,1.41559,0.99348,1.11433,0.78355,0.6928,0.74899,0.37811,1.60061,1.19259,1.25479,0.000553027,0.000553027,0.000553027
29,234.29,1.44445,1.00192,1.11246,0.75219,0.70152,0.73499,0.36156,1.65199,1.21253,1.27817,0.000511769,0.000511769,0.000511769
30,242.35,1.38692,0.91503,1.08758,0.75946,0.72102,0.77875,0.40328,1.62519,1.11146,1.26291,0.000470511,0.000470511,0.000470511
31,251.533,1.39943,0.97226,1.15462,0.77685,0.73485,0.78119,0.41173,1.61344,1.11752,1.2661,0.000429253,0.000429253,0.000429253
32,259.376,1.33779,0.92243,1.1352,0.77336,0.75423,0.79246,0.41156,1.57891,1.0814,1.25148,0.000387994,0.000387994,0.000387994
33,266.998,1.32662,0.91828,1.1371,0.77614,0.75347,0.7804,0.39776,1.61669,1.13279,1.26211,0.000346736,0.000346736,0.000346736
34,274.573,1.30418,0.86552,1.11378,0.77022,0.75309,0.76824,0.39579,1.60781,1.12398,1.26547,0.000305478,0.000305478,0.000305478
35,282.932,1.29392,0.84808,1.10179,0.82156,0.71561,0.79432,0.42329,1.56822,1.06025,1.25389,0.00026422,0.00026422,0.00026422
36,290.537,1.28162,0.83505,1.11417,0.75659,0.76979,0.78813,0.40374,1.61298,1.06038,1.2774,0.000222961,0.000222961,0.000222961
37,298.835,1.29573,0.82649,1.10623,0.7995,0.753,0.79156,0.41654,1.60504,1.04834,1.26892,0.000181703,0.000181703,0.000181703
38,306.549,1.26811,0.80442,1.09114,0.85724,0.72421,0.80786,0.42983,1.55931,1.03529,1.26313,0.000140445,0.000140445,0.000140445
39,314.491,1.2402,0.78337,1.09787,0.8155,0.76598,0.80999,0.43472,1.56619,1.01426,1.26257,9.91865e-05,9.91865e-05,9.91865e-05
40,322.903,1.22661,0.78268,1.08823,0.79092,0.76635,0.80108,0.43137,1.5735,1.00737,1.25982,5.79283e-05,5.79283e-05,5.79283e-05
