epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.9057,0.50349,0.65162,1.00421,0.58935,0.30411,0.32275,0.22634,0.83957,1.10961,1.26273,0.000364262,0.000364262,0.000364262
2,54.9294,0.56428,0.69142,1.04356,0.66714,0.12593,0.14648,0.07795,2.48771,3.67089,2.38822,0.000716414,0.000716414,0.000716414
3,82.9912,0.58006,0.72822,1.05798,0.4173,0.23624,0.25505,0.16492,1.22683,1.5394,1.55628,0.00105023,0.00105023,0.00105023
4,109.893,0.6121,0.7944,1.07545,0.23847,0.35407,0.30347,0.19383,0.89293,1.18839,1.30764,0.00102851,0.00102851,0.00102851
5,136.036,0.5849,0.70105,1.04411,0.72266,0.33845,0.31972,0.19649,0.97564,1.76614,1.23275,0.00100101,0.00100101,0.00100101
6,162.607,0.5611,0.68003,1.04175,0.47378,0.35038,0.32529,0.2164,0.73213,0.9479,1.10552,0.000973514,0.000973514,0.000973514
7,187.182,0.57059,0.67279,1.04094,0.57228,0.38318,0.34679,0.23753,0.65138,0.79249,1.02133,0.000946016,0.000946016,0.000946016
8,214.802,0.54786,0.6564,1.03434,0.37098,0.38144,0.37117,0.24977,0.73179,0.85103,1.12711,0.000918519,0.000918519,0.000918519
9,242.235,0.5384,0.64135,1.02738,0.54303,0.3953,0.36512,0.25327,0.6786,0.73188,1.04916,0.000891022,0.000891022,0.000891022
10,268.748,0.52265,0.62573,1.02391,0.38526,0.43967,0.3759,0.26121,0.65672,0.73449,1.0249,0.000863525,0.000863525,0.000863525
11,294.668,0.51781,0.6219,1.00702,0.60898,0.37551,0.37477,0.26744,0.61041,0.71553,0.97917,0.000836027,0.000836027,0.000836027
12,320.783,0.52,0.59726,1.01362,0.45984,0.41951,0.40681,0.28607,0.5919,0.75132,0.95691,0.00080853,0.00080853,0.00080853
13,348.904,0.47787,0.55525,0.99506,0.64416,0.43342,0.39921,0.2759,0.61682,0.73817,1.01098,0.000781033,0.000781033,0.000781033
14,376.937,0.48151,0.5716,0.98808,0.60591,0.45702,0.39775,0.2716,0.63203,0.73169,0.988,0.000753536,0.000753536,0.000753536
15,406.048,0.47411,0.55641,0.98856,0.43032,0.39344,0.40778,0.27772,0.62377,0.71513,0.97162,0.000726038,0.000726038,0.000726038
16,434.75,0.48266,0.54946,0.98766,0.46883,0.41757,0.40304,0.28649,0.58579,0.72021,0.95926,0.000698541,0.000698541,0.000698541
17,462.1,0.47205,0.53102,0.9861,0.65027,0.37529,0.4049,0.28948,0.56777,0.66023,0.93414,0.000671044,0.000671044,0.000671044
18,488.032,0.48729,0.53205,0.98621,0.6606,0.40108,0.41914,0.29403,0.62795,0.69905,1.01601,0.000643547,0.000643547,0.000643547
19,514.66,0.46361,0.51192,0.98401,0.48482,0.42742,0.43287,0.29886,0.60273,0.68514,0.99871,0.000616049,0.000616049,0.000616049
20,541.165,0.43472,0.50787,0.97443,0.44359,0.42032,0.40842,0.28154,0.59476,0.71757,0.95354,0.000588552,0.000588552,0.000588552
21,567.262,0.44103,0.50654,0.96603,0.42418,0.4361,0.40635,0.28957,0.60372,0.70521,0.979,0.000561055,0.000561055,0.000561055
22,596.073,0.44139,0.50995,0.9707,0.64214,0.4094,0.44828,0.30922,0.58983,0.71213,0.96505,0.000533558,0.000533558,0.000533558
23,622.634,0.42646,0.4691,0.9619,0.46358,0.47648,0.43853,0.31104,0.56905,0.66906,0.9377,0.00050606,0.00050606,0.00050606
24,651.365,0.42227,0.47556,0.95836,0.44511,0.50924,0.43488,0.31705,0.531,0.63665,0.91153,0.000478563,0.000478563,0.000478563
25,681.749,0.41476,0.45106,0.95723,0.52931,0.49532,0.44964,0.32738,0.54399,0.65354,0.91954,0.000451066,0.000451066,0.000451066
26,709.481,0.40892,0.46751,0.95403,0.44604,0.46474,0.43819,0.31695,0.58739,0.6894,0.96582,0.000423569,0.000423569,0.000423569
27,736.506,0.40761,0.44735,0.94654,0.49619,0.51625,0.46498,0.32985,0.56995,0.69068,0.95723,0.000396071,0.000396071,0.000396071
28,764.178,0.3999,0.42725,0.95088,0.4526,0.4742,0.44083,0.32737,0.54427,0.66339,0.92195,0.000368574,0.000368574,0.000368574
29,791.372,0.3977,0.42565,0.94422,0.49405,0.46844,0.43596,0.32373,0.53861,0.65228,0.91315,0.000341077,0.000341077,0.000341077
30,817.932,0.39168,0.42896,0.93623,0.45642,0.48282,0.45173,0.33605,0.50824,0.62981,0.89159,0.00031358,0.00031358,0.00031358
31,847.217,0.42546,0.50694,0.9525,0.65284,0.44783,0.43342,0.31727,0.5178,0.65046,0.89755,0.000286083,0.000286083,0.000286083
32,875.327,0.4275,0.46112,0.93522,0.68555,0.49305,0.47343,0.34115,0.49657,0.63909,0.88535,0.000258585,0.000258585,0.000258585
33,904.435,0.41347,0.4556,0.92157,0.4943,0.48849,0.46477,0.33981,0.51436,0.6584,0.9086,0.000231088,0.000231088,0.000231088
34,930.163,0.41002,0.44261,0.94211,0.46447,0.48655,0.44534,0.32063,0.53178,0.63268,0.90915,0.000203591,0.000203591,0.000203591
35,958.271,0.4006,0.44291,0.93268,0.46503,0.49406,0.45664,0.32491,0.5031,0.65783,0.88813,0.000176094,0.000176094,0.000176094
36,988.24,0.39405,0.40427,0.92792,0.46602,0.50293,0.45433,0.33164,0.51343,0.68008,0.89981,0.000148596,0.000148596,0.000148596
37,1016.31,0.38014,0.38553,0.9195,0.57949,0.43537,0.45948,0.34785,0.49398,0.64818,0.88289,0.000121099,0.000121099,0.000121099
38,1044.24,0.37385,0.37988,0.91544,0.45638,0.5393,0.4761,0.35179,0.50027,0.62581,0.88632,9.36017e-05,9.36017e-05,9.36017e-05
39,1071.11,0.36728,0.36449,0.91263,0.53823,0.4938,0.48986,0.35637,0.51007,0.65711,0.8962,6.61045e-05,6.61045e-05,6.61045e-05
40,1098.76,0.37299,0.35717,0.9052,0.52595,0.49931,0.47636,0.34833,0.48797,0.63605,0.88431,3.86073e-05,3.86073e-05,3.86073e-05
