epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.0319,0.53937,0.78905,1.01028,0.62436,0.3672,0.34781,0.24291,0.65255,0.89187,0.99285,0.000364262,0.000364262,0.000364262
2,27.4314,0.53826,0.70657,1.0058,0.36094,0.31773,0.31038,0.21712,0.73701,1.14402,1.07084,0.000716414,0.000716414,0.000716414
3,39.1333,0.56415,0.74111,1.02154,0.33308,0.30515,0.31665,0.21711,0.68817,0.89672,1.01677,0.00105023,0.00105023,0.00105023
4,50.9107,0.57267,0.7588,1.02808,0.43811,0.3034,0.32957,0.2341,0.73354,0.96866,1.0801,0.00102851,0.00102851,0.00102851
5,63.4302,0.55146,0.6751,1.0039,0.32714,0.44937,0.36225,0.25807,0.62995,0.83456,0.98557,0.00100101,0.00100101,0.00100101
6,74.8865,0.54378,0.67546,1.0128,0.53787,0.38316,0.35353,0.2486,0.62738,0.81824,0.96274,0.000973514,0.000973514,0.000973514
7,86.2787,0.53913,0.6736,1.00419,0.61076,0.37277,0.36437,0.25639,0.60034,0.84242,0.94641,0.000946016,0.000946016,0.000946016
8,97.3918,0.52594,0.64184,1.00421,0.40738,0.38641,0.37313,0.25728,0.61613,0.81519,0.96266,0.000918519,0.000918519,0.000918519
9,109.843,0.51767,0.63512,0.99466,0.6433,0.36769,0.36584,0.2595,0.5723,0.75171,0.92548,0.000891022,0.000891022,0.000891022
10,120.959,0.50699,0.62492,0.99781,0.35894,0.43037,0.37798,0.25918,0.59309,0.86963,0.93193,0.000863525,0.000863525,0.000863525
11,133.431,0.51382,0.63091,0.98361,0.35661,0.38941,0.36826,0.25844,0.59771,0.7986,0.92725,0.000836027,0.000836027,0.000836027
12,145.83,0.50985,0.60829,0.98782,0.55225,0.48281,0.38137,0.26175,0.61333,0.85216,0.94738,0.00080853,0.00080853,0.00080853
13,157.681,0.47478,0.56237,0.97352,0.42058,0.43299,0.3884,0.27533,0.59097,0.7901,0.94427,0.000781033,0.000781033,0.000781033
14,171.052,0.48872,0.58003,0.97265,0.57268,0.42474,0.38932,0.27669,0.57569,0.75736,0.91118,0.000753536,0.000753536,0.000753536
15,183.533,0.47956,0.56068,0.97069,0.57969,0.42509,0.39449,0.27812,0.57357,0.74701,0.89958,0.000726038,0.000726038,0.000726038
16,195.619,0.49393,0.55017,0.97276,0.37975,0.44848,0.4023,0.28466,0.54461,0.70024,0.90119,0.000698541,0.000698541,0.000698541
17,208.659,0.46986,0.53096,0.97101,0.48254,0.37166,0.41291,0.29046,0.55342,0.69295,0.89798,0.000671044,0.000671044,0.000671044
18,222.132,0.48156,0.54066,0.96857,0.58525,0.43233,0.40585,0.27347,0.53914,0.7103,0.88953,0.000643547,0.000643547,0.000643547
19,233.899,0.46824,0.53723,0.96853,0.44518,0.44742,0.41933,0.29606,0.5659,0.72699,0.91945,0.000616049,0.000616049,0.000616049
20,247.707,0.44299,0.51935,0.96598,0.46221,0.39302,0.4126,0.27808,0.56405,0.77244,0.90261,0.000588552,0.000588552,0.000588552
21,258.461,0.44869,0.52262,0.95626,0.42611,0.46133,0.41291,0.29203,0.54497,0.73604,0.89965,0.000561055,0.000561055,0.000561055
22,272.446,0.45023,0.52409,0.96106,0.42099,0.45236,0.4084,0.29198,0.55238,0.73707,0.91915,0.000533558,0.000533558,0.000533558
23,287.157,0.4425,0.48166,0.95432,0.49897,0.43127,0.43079,0.30619,0.55727,0.71661,0.9129,0.00050606,0.00050606,0.00050606
24,299.997,0.43049,0.48483,0.94877,0.46004,0.52616,0.45584,0.32076,0.52554,0.69244,0.88056,0.000478563,0.000478563,0.000478563
25,312.725,0.42417,0.46631,0.95021,0.62617,0.45311,0.40665,0.29673,0.56227,0.72748,0.91807,0.000451066,0.000451066,0.000451066
26,324.636,0.42818,0.47298,0.94893,0.43925,0.44494,0.41887,0.30743,0.54213,0.73032,0.89778,0.000423569,0.000423569,0.000423569
27,337.14,0.42971,0.46728,0.94709,0.70339,0.45268,0.44954,0.31964,0.5199,0.73729,0.87771,0.000396071,0.000396071,0.000396071
28,347.939,0.41805,0.44517,0.94422,0.47804,0.50975,0.43918,0.32155,0.50289,0.66395,0.86937,0.000368574,0.000368574,0.000368574
29,358.956,0.41536,0.43637,0.93893,0.44606,0.49959,0.48368,0.33685,0.52241,0.67624,0.88669,0.000341077,0.000341077,0.000341077
30,371.237,0.41587,0.44598,0.93647,0.69127,0.44103,0.44997,0.32289,0.5012,0.68617,0.86869,0.00031358,0.00031358,0.00031358
31,384.05,0.44215,0.53378,0.94675,0.63873,0.48893,0.42373,0.3082,0.52153,0.7013,0.88622,0.000286083,0.000286083,0.000286083
32,395.585,0.44653,0.48649,0.93287,0.41499,0.49535,0.44989,0.33496,0.53132,0.69438,0.89747,0.000258585,0.000258585,0.000258585
33,407.704,0.44101,0.47255,0.9181,0.50012,0.51015,0.45051,0.33559,0.50967,0.71857,0.88013,0.000231088,0.000231088,0.000231088
34,420.056,0.42668,0.45492,0.93809,0.42196,0.4694,0.4235,0.31428,0.51256,0.7223,0.87507,0.000203591,0.000203591,0.000203591
35,432.63,0.424,0.45857,0.92658,0.50152,0.45885,0.44181,0.32484,0.53393,0.73735,0.89893,0.000176094,0.000176094,0.000176094
36,445.386,0.42439,0.43554,0.92343,0.42192,0.49688,0.43278,0.32471,0.49839,0.7406,0.86454,0.000148596,0.000148596,0.000148596
37,456.616,0.40691,0.42115,0.91466,0.51542,0.44681,0.43441,0.32045,0.49866,0.72563,0.86701,0.000121099,0.000121099,0.000121099
38,468.296,0.40453,0.41873,0.91956,0.54054,0.46756,0.44592,0.32915,0.51878,0.70742,0.87526,9.36017e-05,9.36017e-05,9.36017e-05
39,479.972,0.40011,0.39662,0.91879,0.53281,0.45549,0.46314,0.33656,0.50594,0.72324,0.87016,6.61045e-05,6.61045e-05,6.61045e-05
40,489.204,0.40331,0.40583,0.91036,0.46221,0.47067,0.45534,0.33684,0.50088,0.72447,0.87394,3.86073e-05,3.86073e-05,3.86073e-05
