epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.0325,0.53595,0.69849,1.00631,0.33509,0.31382,0.33818,0.23257,0.73353,0.8906,1.0789,0.000364262,0.000364262,0.000364262
2,34.2942,0.53599,0.62599,1.00728,0.44436,0.32407,0.33991,0.24416,0.66042,0.90775,0.99921,0.000716414,0.000716414,0.000716414
3,51.6089,0.55224,0.66755,1.02046,0.59617,0.28147,0.30499,0.21563,0.72638,0.92631,1.07676,0.00105023,0.00105023,0.00105023
4,67.608,0.58771,0.71557,1.04179,0.45634,0.32014,0.35583,0.24441,0.66723,0.90701,1.02782,0.00102851,0.00102851,0.00102851
5,83.5617,0.56092,0.65455,1.01043,0.45169,0.41879,0.36633,0.25574,0.64001,0.94698,0.97672,0.00100101,0.00100101,0.00100101
6,99.0166,0.547,0.64238,1.01309,0.35423,0.4025,0.37892,0.26277,0.62647,0.78341,0.96015,0.000973514,0.000973514,0.000973514
7,114.772,0.53437,0.61727,1.00517,0.37008,0.39732,0.3858,0.27031,0.5942,0.73255,0.95671,0.000946016,0.000946016,0.000946016
8,130.217,0.52462,0.60234,1.00322,0.59194,0.37377,0.38572,0.27264,0.60913,0.77555,0.94642,0.000918519,0.000918519,0.000918519
9,145.798,0.52734,0.60421,1.00613,0.37139,0.39749,0.39461,0.28028,0.61415,0.77228,0.96762,0.000891022,0.000891022,0.000891022
10,161.98,0.50128,0.59817,0.99658,0.35073,0.38701,0.37902,0.26552,0.63517,0.76798,0.98002,0.000863525,0.000863525,0.000863525
11,180.037,0.51426,0.58178,0.99049,0.37879,0.44096,0.38409,0.26677,0.6741,1.14545,0.98393,0.000836027,0.000836027,0.000836027
12,195.531,0.52784,0.57023,0.99889,0.46613,0.47,0.4002,0.2875,0.63477,0.81041,0.97619,0.00080853,0.00080853,0.00080853
13,211.109,0.47409,0.52421,0.97351,0.44682,0.43339,0.40396,0.28146,0.56248,0.68811,0.909,0.000781033,0.000781033,0.000781033
14,226.323,0.48366,0.53486,0.9683,0.63951,0.42369,0.41537,0.29246,0.5326,0.74765,0.89144,0.000753536,0.000753536,0.000753536
15,242.101,0.46825,0.52271,0.96345,0.66753,0.3677,0.40286,0.29376,0.54967,0.68551,0.90835,0.000726038,0.000726038,0.000726038
16,258.751,0.47451,0.52032,0.96646,0.60308,0.47323,0.43716,0.31266,0.55026,0.68285,0.90651,0.000698541,0.000698541,0.000698541
17,275.392,0.46042,0.50055,0.96177,0.42494,0.48364,0.41322,0.29905,0.5786,0.67339,0.94368,0.000671044,0.000671044,0.000671044
18,292.876,0.47452,0.50522,0.96244,0.47919,0.42445,0.42379,0.29854,0.56251,0.7546,0.92248,0.000643547,0.000643547,0.000643547
19,309.046,0.45295,0.49511,0.96521,0.48292,0.44253,0.43596,0.3021,0.56092,0.68551,0.91581,0.000616049,0.000616049,0.000616049
20,325.777,0.43201,0.47999,0.958,0.4572,0.45824,0.47238,0.33073,0.56903,0.72658,0.91767,0.000588552,0.000588552,0.000588552
21,343.432,0.447,0.48876,0.95374,0.50426,0.44491,0.42778,0.30926,0.5975,0.80584,0.9625,0.000561055,0.000561055,0.000561055
22,360.467,0.4434,0.48412,0.95672,0.4763,0.44929,0.45585,0.31547,0.54661,0.67915,0.90681,0.000533558,0.000533558,0.000533558
23,377.409,0.42777,0.45389,0.94869,0.45383,0.44111,0.42658,0.30467,0.55017,0.71494,0.90055,0.00050606,0.00050606,0.00050606
24,391.733,0.41727,0.45347,0.94516,0.40967,0.49437,0.42659,0.3093,0.5274,0.71953,0.89102,0.000478563,0.000478563,0.000478563
25,406.118,0.41261,0.43538,0.94077,0.49061,0.43171,0.41411,0.30609,0.54077,0.68243,0.90383,0.000451066,0.000451066,0.000451066
26,423.132,0.41768,0.4323,0.94317,0.5093,0.506,0.46585,0.33446,0.55008,0.66435,0.90796,0.000423569,0.000423569,0.000423569
27,439.086,0.41877,0.43072,0.94022,0.48544,0.5066,0.4366,0.32471,0.53762,0.7226,0.89391,0.000396071,0.000396071,0.000396071
28,456.257,0.40898,0.41166,0.94013,0.48219,0.48449,0.44955,0.325,0.53171,0.72336,0.89685,0.000368574,0.000368574,0.000368574
29,472.931,0.40538,0.39852,0.93455,0.56356,0.43766,0.45333,0.33612,0.53495,0.6665,0.90431,0.000341077,0.000341077,0.000341077
30,489.828,0.40495,0.40472,0.93049,0.56922,0.53576,0.48388,0.35104,0.51545,0.67791,0.89433,0.00031358,0.00031358,0.00031358
31,506.157,0.43177,0.47943,0.93271,0.5353,0.463,0.46225,0.33717,0.499,0.66077,0.87385,0.000286083,0.000286083,0.000286083
32,526.396,0.43022,0.42737,0.9187,0.4854,0.48065,0.44728,0.32918,0.51515,0.66779,0.89414,0.000258585,0.000258585,0.000258585
33,543.699,0.41851,0.4115,0.90433,0.49367,0.50996,0.48015,0.34405,0.50448,0.66422,0.87996,0.000231088,0.000231088,0.000231088
34,562.252,0.41014,0.40404,0.92268,0.56986,0.48608,0.46736,0.33957,0.51437,0.66702,0.88584,0.000203591,0.000203591,0.000203591
35,578.315,0.40092,0.38264,0.90902,0.54955,0.43272,0.43869,0.33553,0.49812,0.67675,0.88568,0.000176094,0.000176094,0.000176094
36,595.17,0.40127,0.36745,0.9098,0.5123,0.48442,0.47413,0.34363,0.47902,0.70366,0.86013,0.000148596,0.000148596,0.000148596
37,610.283,0.39279,0.35773,0.90541,0.5814,0.4549,0.47574,0.36233,0.47704,0.68298,0.85791,0.000121099,0.000121099,0.000121099
38,626.582,0.38371,0.35543,0.904,0.47222,0.53048,0.48434,0.36674,0.48107,0.67885,0.8581,9.36017e-05,9.36017e-05,9.36017e-05
39,643.598,0.37303,0.32996,0.90297,0.52076,0.48394,0.48166,0.36161,0.49059,0.67747,0.86364,6.61045e-05,6.61045e-05,6.61045e-05
40,661.187,0.37854,0.34065,0.89473,0.53511,0.47647,0.48751,0.36903,0.48631,0.65964,0.8666,3.86073e-05,3.86073e-05,3.86073e-05
