epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.1556,1.82792,1.5831,1.3543,0.61639,0.37685,0.40779,0.1918,1.96491,2.13037,1.48013,0.000540231,0.000540231,0.000540231
2,27.633,1.70032,1.49867,1.2865,0.00123,0.08393,0.00067,0.00033,2.78716,inf,63.1666,0.00106877,0.00106877,0.00106877
3,41.45,1.80494,1.562,1.34699,0.17254,0.25525,0.13562,0.05128,2.23669,20.9838,1.63062,0.00156981,0.00156981,0.00156981
4,54.7138,1.76724,1.59347,1.32761,0.34156,0.34809,0.31234,0.12536,1.95539,2.36689,1.52511,0.00154323,0.00154323,0.00154323
5,68.6508,1.78699,1.57828,1.36994,0.48631,0.45278,0.39858,0.16645,2.02963,2.01094,1.53058,0.00150197,0.00150197,0.00150197
6,82.2524,1.72139,1.60788,1.35964,0.44516,0.45348,0.41162,0.17448,1.85726,2.07485,1.46094,0.00146071,0.00146071,0.00146071
7,96.9524,1.71197,1.51835,1.30558,0.43124,0.50788,0.37045,0.13626,1.97782,1.8585,1.50697,0.00141945,0.00141945,0.00141945
8,111.198,1.72446,1.47022,1.31201,0.61808,0.54795,0.57018,0.26548,1.70254,1.60408,1.37841,0.00137819,0.00137819,0.00137819
9,124.943,1.69481,1.49743,1.31256,0.54092,0.47457,0.49956,0.1948,2.0043,1.731,1.52611,0.00133693,0.00133693,0.00133693
10,139.084,1.65624,1.43804,1.28009,0.4814,0.51557,0.41997,0.17051,1.84726,1.75612,1.44841,0.00129568,0.00129568,0.00129568
11,153.406,1.65403,1.41744,1.28259,0.57042,0.54542,0.52782,0.2232,1.86554,1.62527,1.49619,0.00125442,0.00125442,0.00125442
12,167.355,1.64202,1.42299,1.28478,0.56197,0.54801,0.50236,0.23722,1.76303,1.64999,1.41336,0.00121316,0.00121316,0.00121316
13,181.112,1.64416,1.33764,1.27629,0.57498,0.56198,0.55789,0.2478,1.78819,1.60165,1.41386,0.0011719,0.0011719,0.0011719
14,195.091,1.66027,1.32839,1.29517,0.60043,0.61026,0.60276,0.28509,1.71026,1.52685,1.39052,0.00113064,0.00113064,0.00113064
15,208.567,1.63181,1.29398,1.28711,0.60821,0.52564,0.53734,0.23033,1.89707,1.58779,1.4628,0.00108938,0.00108938,0.00108938
16,222.71,1.58355,1.23684,1.27442,0.64061,0.60303,0.58902,0.26842,1.78668,1.39695,1.4171,0.00104813,0.00104813,0.00104813
