epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.70454,1.75809,1.83741,1.21836,0.48427,0.49278,0.48891,0.22952,1.7624,1.90551,1.31168,0.000540231,0.000540231,0.000540231
2,15.2443,1.6816,1.59618,1.18834,0.56781,0.37847,0.39437,0.16114,1.80779,2.36645,1.29419,0.00106877,0.00106877,0.00106877
3,20.7159,1.74521,1.60753,1.21031,0.44201,0.38166,0.29078,0.09224,2.09936,2.17284,1.47455,0.00156981,0.00156981,0.00156981
4,26.5514,1.76823,1.6308,1.24113,0.50038,0.40763,0.40893,0.14862,1.96558,2.28028,1.54579,0.00154323,0.00154323,0.00154323
5,32.1302,1.78069,1.61237,1.27866,0.35366,0.44782,0.30518,0.12003,2.09819,2.16562,1.73064,0.00150197,0.00150197,0.00150197
6,37.5008,1.70635,1.60195,1.24758,0.57439,0.5947,0.54921,0.27433,1.57506,1.59607,1.24844,0.00146071,0.00146071,0.00146071
7,42.9388,1.67281,1.42715,1.21514,0.49859,0.51997,0.48454,0.21145,1.83471,1.74797,1.33182,0.00141945,0.00141945,0.00141945
8,48.5239,1.70194,1.48159,1.21485,0.60573,0.53517,0.58032,0.27316,1.66641,1.54806,1.25453,0.00137819,0.00137819,0.00137819
9,53.7863,1.66734,1.50027,1.2049,0.43466,0.3855,0.3341,0.1509,1.68448,3.0109,1.283,0.00133693,0.00133693,0.00133693
10,58.9201,1.6595,1.48123,1.19952,0.55923,0.56002,0.59551,0.29037,1.69135,1.51485,1.26056,0.00129568,0.00129568,0.00129568
11,64.4631,1.64921,1.42216,1.20348,0.53316,0.56733,0.57511,0.29509,1.67944,1.60902,1.25796,0.00125442,0.00125442,0.00125442
12,69.5122,1.64111,1.39625,1.19065,0.61921,0.62603,0.63591,0.32363,1.60632,1.37553,1.23464,0.00121316,0.00121316,0.00121316
13,74.7067,1.62654,1.29444,1.18529,0.69711,0.64985,0.66173,0.33143,1.6073,1.44942,1.22587,0.0011719,0.0011719,0.0011719
14,80.0117,1.61007,1.32444,1.18346,0.68159,0.63907,0.66063,0.2942,1.70084,1.44144,1.27018,0.00113064,0.00113064,0.00113064
15,85.8197,1.61492,1.32809,1.17896,0.55617,0.58486,0.5485,0.23112,1.69789,1.64287,1.24399,0.00108938,0.00108938,0.00108938
16,91.1931,1.54029,1.27333,1.16571,0.55503,0.5972,0.59381,0.27246,1.71391,1.55128,1.27125,0.00104813,0.00104813,0.00104813
17,96.5838,1.58632,1.2779,1.16583,0.71322,0.65767,0.69819,0.36504,1.59593,1.27044,1.23261,0.00100687,0.00100687,0.00100687
18,102.24,1.58317,1.26855,1.17469,0.69633,0.62078,0.66155,0.29203,1.72812,1.4707,1.29035,0.00096561,0.00096561,0.00096561
19,107.275,1.5541,1.23228,1.14195,0.64026,0.63456,0.66298,0.32888,1.67169,1.37363,1.26296,0.000924352,0.000924352,0.000924352
20,112.691,1.55177,1.20521,1.16164,0.72226,0.67217,0.70918,0.32865,1.68623,1.29219,1.26054,0.000883093,0.000883093,0.000883093
21,118.417,1.58534,1.24008,1.17928,0.67464,0.65191,0.6643,0.30428,1.72857,1.37257,1.27853,0.000841835,0.000841835,0.000841835
22,124.262,1.54243,1.19681,1.14266,0.7036,0.65841,0.68755,0.31388,1.67044,1.3523,1.27096,0.000800577,0.000800577,0.000800577
