epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.61719,2.38461,4.35854,1.57747,0.25423,0.44702,0.25,0.12519,1.81237,6.7512,1.43032,0.000540231,0.000540231,0.000540231
2,15.6267,1.82686,2.00472,1.3085,0.26841,0.36365,0.3089,0.16002,1.72039,3.4938,1.39726,0.00104165,0.00104165,0.00104165
3,22.1834,1.82443,1.75371,1.3257,0.4806,0.48262,0.43662,0.19488,1.75413,4.07483,1.42008,0.00148806,0.00148806,0.00148806
4,29.2988,1.82619,1.62578,1.33267,0.63897,0.4909,0.55366,0.24051,1.74613,2.1042,1.41087,0.00141945,0.00141945,0.00141945
5,36.0616,1.77469,1.54418,1.31645,0.55969,0.52766,0.55249,0.25244,1.71612,2.09856,1.34016,0.00133693,0.00133693,0.00133693
6,43.5203,1.71794,1.52607,1.2877,0.6092,0.53932,0.6072,0.27005,1.69868,1.50672,1.35103,0.00125442,0.00125442,0.00125442
7,49.8058,1.67711,1.37653,1.25233,0.66907,0.54192,0.58112,0.26129,1.6621,1.56217,1.30222,0.0011719,0.0011719,0.0011719
8,55.6224,1.68094,1.37396,1.25025,0.65543,0.58824,0.63263,0.28366,1.69649,1.36891,1.32547,0.00108938,0.00108938,0.00108938
9,62.8551,1.65021,1.35686,1.25022,0.68289,0.60729,0.65303,0.31506,1.65656,1.39599,1.31519,0.00100687,0.00100687,0.00100687
10,69.2965,1.60844,1.3056,1.21649,0.7589,0.59317,0.67774,0.32548,1.72055,1.35711,1.31626,0.000924352,0.000924352,0.000924352
11,76.2486,1.5856,1.29548,1.27453,0.67593,0.62941,0.67328,0.32157,1.66503,1.30781,1.29745,0.000841835,0.000841835,0.000841835
12,82.7279,1.50848,1.20145,1.23781,0.63747,0.69524,0.71511,0.35086,1.6134,1.22749,1.27965,0.000759318,0.000759318,0.000759318
13,88.8368,1.51399,1.16216,1.22186,0.73791,0.68529,0.7491,0.35818,1.63548,1.23404,1.28427,0.000676802,0.000676802,0.000676802
14,94.864,1.50523,1.11708,1.21924,0.7491,0.65988,0.73543,0.36068,1.6437,1.21652,1.30645,0.000594286,0.000594286,0.000594286
15,101.716,1.50855,1.08433,1.21278,0.722,0.68442,0.72206,0.36716,1.67126,1.21427,1.31848,0.000511769,0.000511769,0.000511769
16,108.148,1.447,1.06087,1.19595,0.725,0.71714,0.74755,0.37938,1.58438,1.15675,1.27349,0.000429253,0.000429253,0.000429253
17,114.257,1.41743,1.00662,1.1827,0.761,0.70602,0.76226,0.37133,1.66359,1.15192,1.31653,0.000346736,0.000346736,0.000346736
18,119.921,1.40131,0.96792,1.17556,0.74395,0.70217,0.7345,0.36797,1.63957,1.1458,1.30176,0.00026422,0.00026422,0.00026422
19,125.482,1.37129,0.93542,1.16604,0.81735,0.6415,0.75788,0.38943,1.63871,1.0943,1.3049,0.000181703,0.000181703,0.000181703
20,130.927,1.38358,0.92738,1.15077,0.76482,0.66973,0.757,0.38684,1.62499,1.0862,1.30217,9.91865e-05,9.91865e-05,9.91865e-05
